_id,user_id,user_name,friend_count,follower_count,status_count,user_location,geolocation.location.lat,geolocation.location.lng
ObjectId(5c894621e783f23ca09b3b0b),100068500,Mitchamoreagent,265,206,1817,"Austin, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3b11),100081250,raeshernell,480,533,18369,"florence/tuscaloosa, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b3b21),100140767,DCCelebrity,85,2277,2869,Washington DC,47.041398,-122.896774
ObjectId(5c894621e783f23ca09b3b24),100150340,TwentyFourGirl,294,456,37066,I d rather be in California.,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3b31),100187851,Jawaadee,788,1126,15086,"California, Anaheim",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3b3f),100255983,ANACOSTIASERIES,164,183,269,Washington D.C.,47.041398,-122.896774
ObjectId(5c894621e783f23ca09b3b4f),100310204,ChicModern,902,1880,15426,"Dallas,Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3b60),100352728,predatorhunting,7769,7125,9232,California,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3b85),100431026,GabbyyLovee,507,389,5452,California,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3b8d),100441873,herouxAT,117,57,455,"Indianapolis, IN",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b3ba8),10054172,crispylettuce,417,363,3383,"San Mateo, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3bab),100557494,Liffick,81,15,12,Indianapolis,39.776664,-86.145935
ObjectId(5c894621e783f23ca09b3bae),100563753,Qurayshi,1392,1546,93680,Kashmir INDIA,39.776664,-86.145935
ObjectId(5c894621e783f23ca09b3bb0),100572778,kevinferrell44,226,201,3787,"San Marcos, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3bd2),100649738,deejaylightsoff,1468,1841,8308,"Moreno Valley, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3bfb),10077352,moviepastor,338,2498,23346,"Decatur, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b3bff),100782381,RoofBeamReader,1330,1661,8290,"Chicago, IL",39.763908,-89.670832
ObjectId(5c894621e783f23ca09b3c11),100817771,modernbird,3966,5097,27125,Washington DC,47.041398,-122.896774
ObjectId(5c894621e783f23ca09b3c14),100820047,ctmcdm,47,58,2805,"Midland, TX",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3c1f),100849919,SALUTEtheKING,237,675,25165,Washington D.C.,47.041398,-122.896774
ObjectId(5c894621e783f23ca09b3c21),100854193,scottyabrown,683,1593,10811,"Puget Sound, WA",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b3c3e),100920859,benn1O,156,204,3089,"Los Angeles, California",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3c42),100937957,kissashh,213,293,8018,Washington/Op,47.041398,-122.896774
ObjectId(5c894621e783f23ca09b3c61),101033635,Sherrismith519,456,61,208,north alabama,32.346251,-86.268593
ObjectId(5c894621e783f23ca09b3c63),101035771,babytigger616,153,35,1674,"Fort Wayne, Indiana",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b3c6a),101053971,TMKelly,45,79,2017,"Muncie, IN",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b3c6e),101063335,andrewkunz,497,127,3069,"Avon, Indiana",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b3c7e),101120924,iampatrickw,203,86,3230,"Los Angeles, CA",38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3cc1),101335746,creolegoddess62,223,181,901,Texas,30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3cda),101382647,johncollinblack,83,41,328,Indiana,39.776664,-86.145935
ObjectId(5c894621e783f23ca09b3cde),101389168,scapplegate,262,79,9271,"Tuscaloosa, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b3cef),101429493,MXwarrior30,99,17,309,LA/Downey CA,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3cf3),10143972,tackyspoons,486,613,9964,"Roosevelt, Seattle, WA",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b3d15),101564150,foodwanderings,808,2366,29180,"Washington, DC",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b3d18),101573390,sjarvis001,134,36,137,"Tuscaloosa, AL",32.346251,-86.268593
ObjectId(5c894621e783f23ca09b3d1c),101584408,KaiLizabeth,273,242,943,"Indianapolis,IN",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b3d4a),101706545,urstrulyfaith,274,688,15979,California,38.566592,-121.468632
ObjectId(5c894621e783f23ca09b3d51),101739512,YMECMBJAYO,1820,239,948,"pullman, WA",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b3d5d),101789560,heathersomervil,386,233,193,"Washington, DC",47.041398,-122.896774
ObjectId(5c894621e783f23ca09b3d68),101814694,alexlbridges,111,66,306,"West Lafayette, IN",39.776664,-86.145935
ObjectId(5c894621e783f23ca09b3d7a),101856673,julibear,95,40,5785,"Kyle, Texas",30.307182,-97.755996
ObjectId(5c894621e783f23ca09b3d8c),101893601,fredialucas,46,28,172,"Birmingham, Alabama",32.346251,-86.268593
